v4_4,Measure Type,Unit Multiplier,Data Marking,CV,calendar-years,admin-geography,ashe-statistics,ashe-sex,ashe-working-pattern,ashe-hours-and-earnings,ashe-workplace-or-residence
157.4,GBP,1,,1.0,2016,K04000001,median,male,part-time,basic-pay-including-other-pay,workplace
170.3,GBP,1,,13.0,2016,E06000003,25,female,all,weekly-pay-gross,workplace
,Count,1,x,x,2016,E06000002,90,female,full-time,paid-hours-worked-basic,workplace
,GBP,1,x,45.0,2016,E06000005,20,female,part-time,weekly-pay-excluding-overtime,workplace
,Count,1,x,71.0,2016,E06000002,75,all,all,paid-hours-worked-overtime,workplace
55.5,GBP,1,,12.0,2016,E12000001,70,female,all,overtime-pay,workplace
,Count,1,x,x,2016,E06000001,20,male,full-time,paid-hours-worked-overtime,workplace
,Count,1,x,21.0,2016,E06000002,40,all,all,paid-hours-worked-overtime,workplace
422.7,GBP,1,,1.4,2016,E12000001,30,male,full-time,weekly-pay-gross,workplace
0.9,Count,1,,19.0,2016,E06000005,mean,all,all,paid-hours-worked-overtime,workplace
,Count,1,x,x,2016,E06000002,30,male,part-time,paid-hours-worked-overtime,workplace
273.3,GBP,1,,16.0,2016,E12000001,80,male,part-time,basic-pay-including-other-pay,workplace
,Count,1,x,21.0,2016,E06000005,40,female,part-time,paid-hours-worked-basic,workplace
1079.1,GBP,1,,0.8,2016,E92000001,90,all,full-time,weekly-pay-gross,workplace
